0		4
1		3254
2		30504
3		32504
4		27504
5		22254
6		17004
7		12754
8		10004
9		29004
10		26504
11		22504
12		19004
13		15254
14		20504
15		28754
16		25004
17		21504
18		17004
19		15004
20		29504
21		27754
22		24004
23		19754
24		16504
25		15254
26		29004
27		25754
28		22004
29		18504
30		15254
31		27754
32		27504
33		24004
34		20004
35		16504
36		16754
37		29004
38		26004
39		22254
40		18254
41		15254
42		28754
43		28254
44		24254
45		20504
46		16754
47		15504
48		29004
49		26254
50		22504
51		18504
52		16004
53		29504
54		28004
55		24004
56		20004
57		16254
58		14504
59		29504
60		27004
61		22504
62		18754
63		15504
64		25254
65		28504
66		24754
67		20754
68		17004
69		15254
70		28754
71		26254
72		22504
73		18754
74		15754
75		29504
76		28254
77		24254
78		20504
79		16754
80		15004
81		29004
82		26504
83		23004
84		18754
85		15504
86		22754
87		28254
88		25004
89		20754
90		17504
91		15254
92		29004
93		26754
94		22754
95		19004
96		15754
97		28754
98		28504
99		24754
100		20754
101		17004
102		14754
103		29504
104		27004
105		23254
106		19254
107		15754
108		16254
109		29004
110		25754
111		21754
112		18004
113		15504
114		22320
115		14320
116		6320
