0		90
1		51
2		22
3		65
4		79
5		84
6		80
7		67
8		26
9		36
10		58
11		62
12		62
13		43
14		2
15		44
16		62
17		62
18		55
19		33
20		27
21		53
22		62
23		62
24		48
25		19
26		38
27		59
28		60
29		58
30		37
31		16
32		48
33		59
34		59
35		46
36		15
37		42
38		62
39		63
40		59
41		39
42		17
43		49
44		61
45		61
46		50
47		24
48		34
49		57
50		59
51		57
52		37
53		23
54		51
55		63
56		63
57		51
58		26
59		34
60		56
61		61
62		61
63		41
64		3
65		45
66		61
67		61
68		52
69		27
70		31
71		55
72		58
73		58
74		37
75		22
76		50
77		63
78		63
79		52
80		27
81		33
82		56
83		61
84		61
85		42
86		4
87		44
88		59
89		59
90		52
91		27
92		30
93		54
94		59
95		59
96		40
97		17
98		48
99		63
100		63
101		54
102		30
103		30
104		54
105		62
106		62
107		46
108		14
109		40
110		61
111		61
112		56
113		34
